f,Pxx
0.0,19300782.76230893
0.008264462809917356,929216662.5216488
0.01652892561983471,305140696.6964407
0.024793388429752067,53229016.076997295
0.03305785123966942,12436315.43931176
0.04132231404958678,3479270.662525362
0.049586776859504134,1006457.3686911729
0.05785123966942149,279420.79700171284
0.06611570247933884,76438.61646058082
0.0743801652892562,22576.990423086572
0.08264462809917356,7197.956701936872
0.09090909090909091,2108.1569556681957
0.09917355371900827,471.89480037604176
0.10743801652892562,82.83191788894288
0.11570247933884298,33.00735092157135
0.12396694214876033,24.990391792281436
0.1322314049586777,12.888952672261448
0.14049586776859505,4.2879638885433184
0.1487603305785124,1.4671922285615895
0.15702479338842976,1.2506008788427314
0.1652892561983471,1.2827899087416712
0.17355371900826447,1.0560519995235345
0.18181818181818182,0.7564259444490926
0.19008264462809918,0.5301642355024307
0.19834710743801653,0.3875492481870098
0.2066115702479339,0.29377427191655703
0.21487603305785125,0.22451964545771824
0.2231404958677686,0.17040843215159449
0.23140495867768596,0.1285881276443292
0.2396694214876033,0.09712842886946271
0.24793388429752067,0.07396314062174335
0.25619834710743805,0.05715382197713159
0.2644628099173554,0.04496221913129056
0.2727272727272727,0.03592945996518294
0.2809917355371901,0.02894827969043758
0.2892561983471075,0.023307993390976077
0.2975206611570248,0.018653265334508642
0.30578512396694213,0.01486545280274012
0.3140495867768595,0.01190439801458785
0.3223140495867769,0.009693259263204546
0.3305785123966942,0.00806730112325527
0.33884297520661155,0.006821181449047618
0.34710743801652894,0.005772374094426477
0.3553719008264463,0.004814366498780031
0.36363636363636365,0.003926120380010913
0.371900826446281,0.0031432358542250807
0.38016528925619836,0.0025098058625295785
0.38842975206611574,0.0020382982636297595
0.39669421487603307,0.0016992013853860263
0.4049586776859504,0.0014386108354626612
0.4132231404958678,0.0012042059799499604
0.42148760330578516,0.0009691835116159202
0.4297520661157025,0.0007365571831547377
0.4380165289256198,0.0005274124105463965
0.4462809917355372,0.00036233188736839575
0.4545454545454546,0.00024752105822001215
0.4628099173553719,0.0001732440762600062
0.47107438016528924,0.00012244678456436995
0.4793388429752066,8.214967868272002e-05
0.487603305785124,4.9696721756014363e-05
0.49586776859504134,3.051590680926363e-05
