date,cases
2021-07-18,59
2021-07-19,93
2021-07-20,111
2021-07-21,94
2021-07-22,131
2021-07-23,114
2021-07-24,97
2021-07-25,66
2021-07-26,123
2021-07-27,119
2021-07-28,132
2021-07-29,150
2021-07-30,170
2021-07-31,158
2021-08-01,136
2021-08-02,177
2021-08-03,204
2021-08-04,275
2021-08-05,286
2021-08-06,266
2021-08-07,268
2021-08-08,217
2021-08-09,284
2021-08-10,390
2021-08-11,391
2021-08-12,409
2021-08-13,401
2021-08-14,417
2021-08-15,330
2021-08-16,410
2021-08-17,424
2021-08-18,493
2021-08-19,604
2021-08-20,525
2021-08-21,383
2021-08-22,332
2021-08-23,413
2021-08-24,537
2021-08-25,647
2021-08-26,641
2021-08-27,505
2021-08-28,503
2021-08-29,418
2021-08-30,570
2021-08-31,706
2021-09-01,711
2021-09-02,760
2021-09-03,654
2021-09-04,631
2021-09-05,485
2021-09-06,601
2021-09-07,630
2021-09-08,765
2021-09-09,961
2021-09-10,879
2021-09-11,656
2021-09-12,616
2021-09-13,679
2021-09-14,749
2021-09-15,834
2021-09-16,819
2021-09-17,809
2021-09-18,641
2021-09-19,623
2021-09-20,644
2021-09-21,614
2021-09-22,783
2021-09-23,721
2021-09-24,780
2021-09-25,581
2021-09-26,493
2021-09-27,499
2021-09-28,566
2021-09-29,710
2021-09-30,587
2021-10-01,624
2021-10-02,396
2021-10-03,439
2021-10-04,478
2021-10-05,534
2021-10-06,613
2021-10-07,628
2021-10-08,598
2021-10-09,530
2021-10-10,421
2021-10-11,432
2021-10-12,583
2021-10-13,641
2021-10-14,689
2021-10-15,792
2021-10-16,427
2021-10-17,350
2021-10-18,421
2021-10-19,499
2021-10-20,411
2021-10-21,411
2021-10-22,447
2021-10-23,376
2021-10-24,342
2021-10-25,379
2021-10-26,453
2021-10-27,474
2021-10-28,556
2021-10-29,542
2021-10-30,538
2021-10-31,491
2021-11-01,484
2021-11-02,535
2021-11-03,641
2021-11-04,667
2021-11-05,597
2021-11-06,586
2021-11-07,502
2021-11-08,525
2021-11-09,723
2021-11-10,677
2021-11-11,699
2021-11-12,716
2021-11-13,511
2021-11-14,542
2021-11-15,593
2021-11-16,707
2021-11-17,793
2021-11-18,720
2021-11-19,766
2021-11-20,724
2021-11-21,662
2021-11-22,740
2021-11-23,885
2021-11-24,988
2021-11-25,1173
2021-11-26,1008
2021-11-27,817
2021-11-28,719
2021-11-29,922
2021-11-30,1112
